Timestamp (UTC),Day created,Time created,Content,Total Likes,Total Comments,Total Shares,Post Type
Wed Sep 14 14:31:48 UTC 2016,Wednesday,14:31:48,Here's an article from The Bush Center that references work we do at Hire Heroes USA. Military members and veterans: feel free to share your thoughts in our comment section.,39,2,12,LINK
Wed Sep 14 13:00:04 UTC 2016,Wednesday,13:00:04,,76,0,2,PHOTO
Tue Sep 13 19:27:00 UTC 2016,Tuesday,19:27:00,"Military members, veterans and military spouses in Idaho: Join us September 20-21 for our 2nd Warrior Transition Workshop as part of the Mission43 collaborative. This two-day event will be held at Mountain Home AFB. Learn more and register now!",24,0,7,LINK
Mon Sep 12 21:44:23 UTC 2016,Monday,21:44:23,"Members of our Programs, Volunteer and Marketing teams have been attending the Teradata Partners Conference in Atlanta. On Sunday, Data Challenge finalists from Carnegie Mellon, Loyola University Chicago, Missouri University of Science and Technology, NIDA Business School, UNC Charlotte, and the University of Waterloo made their final presentations. Each team had examined reams of data from Hire Heroes USA. It's been a fascinating project and an honor for us to participate!",21,0,2,PHOTO
Mon Sep 12 18:30:17 UTC 2016,Monday,18:30:17,"We have USO workshops coming up this week in Vegas, Camp Pendleton, and across the Atlantic at Ramstein and Spangdahlem Air Bases in Germany! Next week we will be in Naples, Italy for a military spouse workshop, as well as Fort Campbell, KY and Fort Stewart, GA. You can always check out all our upcoming workshops - and register for them - on our website:",8,0,2,LINK
Mon Sep 12 13:31:49 UTC 2016,Monday,13:31:49,"Military members, veterans and military spouses:  Start your Monday off right by starting your job search off right. Register for our free career coaching services today.",8,0,0,LINK
Sun Sep 11 16:10:21 UTC 2016,Sunday,16:10:21,"No day shall erase you from the memory of time - Virgil 

#NeverForget 

#September11",50,0,2,PHOTO
Sun Sep 11 13:37:02 UTC 2016,Sunday,13:37:02,"Many decided to join the military after the 9/11 terror attacks, and these men and women are among the military members and veterans we serve today. Here is just one of many stories of how September 11th made an impact - do you have one you'd like to share, too? #NeverForget",33,0,1,LINK
Sun Sep 11 12:05:09 UTC 2016,Sunday,12:05:09,"One of the worst days in America’s history saw some of the bravest acts in Americans’ history. We’ll always honor the heroes of 9/11 — President George W. Bush 

#NeverForget 

#September11",65,0,9,PHOTO
Sat Sep 10 22:21:06 UTC 2016,Saturday,22:21:06,"As the world went to sleep 15 years ago today, it still did not know of the unthinkable terror, remarkable bravery and hardened resolve that would define our times....and started the next morning in America. 

#9/11Anniversary

#NeverForget",54,0,33,PHOTO
Sat Sep 10 14:02:51 UTC 2016,Saturday,14:02:51,"The Walmart Foundation is an important part of our Hire Heroes USA team and a big supporter of our military and veterans. It is because of generous funders like these that we are able to do what we do best: empower transitioning military, veterans and their spouses to succeed in the civilian workforce. Learn more about Walmart's support of our military at the link below. #‎veterans #‎military",7,0,1,LINK
Fri Sep 09 14:11:48 UTC 2016,Friday,14:11:48,"It is Friday and that means another veteran spotlight from Hire Heroes USA.



This week, we've got someone who made headlines, Air Force veteran and U.S. Airways pilot Captain ""Sully"" Sullenberger. A new movie based on his heroic 2009 landing in the Hudson River premieres this weekend. Here's an incredible interview that was in Newsweek:",72,1,11,LINK
Thu Sep 08 23:00:03 UTC 2016,Thursday,23:00:03,"Hire Heroes USA and WWE team up twice a year to hold Veteran Career Panels, where top executives offer great insights to our veteran attendees. Here's some helpful advice from Deloitte's Monte Zaben, who explains why listening closely and good research can be beneficial once you get to the job interview.",56,0,14,VIDEO
